env_type,model,f_best,mu0,sigma0,obs_noise,w1,w2,hazard_rate,log_sigma0,log_obs_noise,log_w1,log_w2,logit_h,mu1_0,sig1_0,mu2_0,sig2_0,eta,s,log_sig1_0,log_sig2_0,log_eta,log_s,x0_tonic_vol,x2_mu,x3_mu,log_x0_tonic_vol
changepoint,ChangePointModelVariational,576.0928757729547,246.4316828198871,0.10000000000000517,38.36896782996988,0.00010000000000300995,285.1586868612947,0.16432546621814767,-2.302585092993994,3.647249003453198,-9.210340371946083,5.653045821319814,-1.626390212307638,,,,,,,,,,,,,,
changepoint,HGFPaper2Gaussian,593.3967901455447,,,,,,,,,,,,233.89712857451104,0.0010000001585813768,5.8316086421104885,0.001000000004289243,0.20508865021953876,4243.588623305101,-6.907755120400773,-6.907755274692894,-1.5843129532236886,8.353164563675005,,,,
changepoint,WeberModel,886.4634537696838,,,,,,,,,,,,,,,,,,,,,,1.495187905589925,2.5143403933983365e-10,9.350954714797181,0.4022518883022137
