env_type,model,f_best,mu0,sigma0,obs_noise,w1,w2,hazard_rate,log_sigma0,log_obs_noise,log_w1,log_w2,logit_h,mu1_0,sig1_0,mu2_0,sig2_0,eta,s,log_sig1_0,log_sig2_0,log_eta,log_s,x0_tonic_vol,x2_mu,x3_mu,log_x0_tonic_vol
randomwalk,ChangePointModelVariational,555.6796024709491,246.30069780111288,0.1000000000000018,28.316825966450743,0.00010000000016686395,266.42689964361995,0.18482240968820732,-2.3025850929940277,3.3434561850885363,-9.210340370307543,5.5850999082068515,-1.4840105753244706,,,,,,,,,,,,,,
randomwalk,HGFPaper2Gaussian,577.4717153187759,,,,,,,,,,,,241.0674442895264,0.0010000000264043655,4.408490001575314,0.0010000000373764425,0.06787501790979458,5301.061162464623,-6.907755252577772,-6.907755241605695,-2.6900872368636954,8.575662298831945,,,,
randomwalk,WeberModel,887.1606755256653,,,,,,,,,,,,,,,,,,,,,,12.176036629359094,7.007733269675738e-07,11.834125430991941,2.4994698094393035
